;Valmyndigheten 2025-12-08 03:51:36
Valtyp;Val till;Länskod;Län;Kommunkod;Kommun;Valkretskod;Valkrets;Partiförkortning;Partibeteckning;Mandat (invalsordning);Ledamot förnamn;Ledamot efternamn;Kandidatnummer ledamot;Invalsdatum;Personvald;Ålder valdag;Kön;Valtillfälle
RD;Riksdagen;;;;;01;Stockholms kommun;M;Moderaterna;1;Arin;Karapet;34477;;;34;M;Val_20220911
RD;Riksdagen;;;;;01;Stockholms kommun;M;Moderaterna;2;Johan;Forssell;29049;;;42;M;Val_20220911
RD;Riksdagen;;;;;01;Stockholms kommun;M;Moderaterna;3;Jessica;Rosencrantz;34473;;;34;K;Val_20220911
RD;Riksdagen;;;;;01;Stockholms kommun;M;Moderaterna;4;Anna Kristina;Axén Olin;34474;;;59;K;Val_20220911
RD;Riksdagen;;;;;01;Stockholms kommun;M;Moderaterna;5;Margareta;Cederfelt;34475;;;62;K;Val_20220911
RD;Riksdagen;;;;;01;Stockholms kommun;M;Moderaterna;6;Fredrik;Kärrholm;34476;;;37;M;Val_20220911
RD;Riksdagen;;;;;01;Stockholms kommun;S;Arbetarepartiet-Socialdemokraterna;1;Anders;Ygeman;4519;;;52;M;Val_20220911
RD;Riksdagen;;;;;01;Stockholms kommun;S;Arbetarepartiet-Socialdemokraterna;2;Annika;Strandhäll;4520;;;47;K;Val_20220911
RD;Riksdagen;;;;;01;Stockholms kommun;S;Arbetarepartiet-Socialdemokraterna;3;Abdulkadir;Kasirga;4523;;;47;M;Val_20220911
RD;Riksdagen;;;;;01;Stockholms kommun;S;Arbetarepartiet-Socialdemokraterna;4;Lawen;Redar;4522;;;32;K;Val_20220911
RD;Riksdagen;;;;;01;Stockholms kommun;S;Arbetarepartiet-Socialdemokraterna;5;Mattias;Vepsä;4525;;;42;M;Val_20220911
RD;Riksdagen;;;;;01;Stockholms kommun;S;Arbetarepartiet-Socialdemokraterna;6;Jytte;Bengtsson Guteland;4524;;;42;K;Val_20220911
RD;Riksdagen;;;;;01;Stockholms kommun;S;Arbetarepartiet-Socialdemokraterna;7;Markus;Kallifatides;4527;;;50;M;Val_20220911
RD;Riksdagen;;;;;01;Stockholms kommun;S;Arbetarepartiet-Socialdemokraterna;8;Mirja;Räihä;4526;;;63;K;Val_20220911
RD;Riksdagen;;;;;01;Stockholms kommun;S;Arbetarepartiet-Socialdemokraterna;9;Daniel;Vencu Velasquez Castro;4529;;;27;M;Val_20220911
